"rownames.resu.";"TaxoBsim";"pvalue_TaxoBsim";"TaxoBsne";"pvalue_TaxoBsne";"PBsim3k";"pvalue_PBsim3k";"PBsne3k";"pvalue_PBsne3k";"PBsim_gen";"pvalue_PBsim_gen";"PBsimCasse";"pvalue_PBsimCasse";"Fun_Bsim";"pvalue_Fun_Bsim";"Fun_Bsne";"pvalue_Fun_Bsne"
"(Intercept)";0.07;0.2;-1.78;0.2;-1.16;0.2;-1.65;0.2;-1.37;0.2;-1.37;0.2;-2.51;0.2;-0.93;0.2
"D_energ_s";-0.16;0.2;0.24;0.4;-0.21;0.2;0.3;0.6;-0.27;0.4;-0.27;0.2;-0.39;0.4;0.31;0.6
"D_water_s";-0.02;1;-0.24;0.2;0.02;0.8;-0.29;0.2;0.04;0.6;0.04;0.6;0.11;0.4;-0.34;0.6
"D_temp_s";0.37;0.2;-0.16;0.8;0.15;0.2;0.39;0.4;-0.08;0.6;-0.08;0.8;-0.14;0.8;0.58;0.4
"D_Habitat_size_s";-0.06;0.4;-0.01;1;0.05;0.4;-0.22;0.4;0.08;0.2;0.08;0.2;0.06;0.6;-0.26;0.2
"D_Habitat_Div_s";0.15;0.2;-0.03;0.6;0.09;0.2;0.12;0.6;0.06;0.4;0.06;0.4;0.02;0.8;0.21;0.2
"D_Habitat_harsh_s";0.4;0.2;-0.1;0.4;0.25;0.2;0.14;0.4;0.23;0.2;0.23;0.2;0.15;0.2;0.24;0.2
"D_Habitat_position_s";0.14;0.6;-0.15;0.4;0.03;1;0.09;0.8;-0.1;0.4;-0.1;0.4;0.04;0.8;0.04;1
"D_Habitat_fragm_s";0.02;0.8;-0.05;0.6;-0.02;1;-0.02;0.8;-0.04;0.8;-0.04;0.8;-0.13;0.6;-0.02;1
"D_Habitat_water_s";-0.2;0.2;0.13;0.2;-0.12;0.2;0.07;0.8;-0.17;0.2;-0.17;0.2;-0.07;0.6;0.04;0.4
"D_Habitat_SampEff_s";-0.07;0.4;0.57;0.2;-0.25;0.2;0.79;0.2;-0.31;0.2;-0.31;0.2;-0.58;0.2;0.92;0.2
"D_Marine_Incurs_s";-0.24;0.2;-0.16;0.4;-0.13;0.4;-0.33;0.4;-0.13;0.8;-0.13;0.2;-0.29;0.2;-0.5;0.4
"D_CurrentLGM_s";0.17;0.4;0.15;0.4;0.13;0.4;0.16;0.4;0.15;0.4;0.15;0.2;0.22;0.4;0.1;1
"D_Pebas23mya_s";-0.22;0.2;-0.05;0.6;-0.13;0.4;-0.14;0.4;-0.2;0.2;-0.2;0.2;-0.09;1;-0.31;0.4
"D_hydro_s";-0.03;0.6;-0.06;0.4;0.03;0.2;-0.17;0.2;0.02;0.6;0.02;0.6;0.16;0.2;-0.27;0.2
"D_spat_s";0.54;0.2;-0.14;0.2;0.4;0.2;-0.06;0.6;0.51;0.2;0.51;0.2;0.2;0.2;0.17;0.4
"dev";324.39;4640;503.48;4640;186.92;4640;557.08;4640;256.54;4640;256.54;4640;409.81;4640;1229.52;4640
