"PC1";"PC2";"PC3";"PC4";"PC5";"PC6";"PC7";"PC8";"PC9";"PC10"
"EdHd";-0.22;0.42;0.09;0.53;0;0.11;0.49;-0.3;-0.26;-0.28
"MoBd";-0.53;0.19;-0.2;0.12;0.17;-0.2;0.15;0.15;0.18;0.7
"JlHd";-0.38;-0.2;0.08;0.26;0.21;0.7;-0.3;0.34;0;-0.11
"EhBd";-0.03;-0.34;-0.59;0.19;0.17;-0.34;0.16;0.38;-0.3;-0.31
"BlBd";-0.04;-0.59;0.25;0.28;-0.23;-0.07;-0.05;-0.29;-0.47;0.38
"HdBd";0.35;-0.3;-0.33;0.34;-0.08;0.29;0.29;-0.21;0.57;0.13
"PFiBd";-0.48;-0.11;-0.34;-0.11;-0.01;-0.1;-0.36;-0.63;0.17;-0.27
"PFlBl";0.34;0.26;-0.42;-0.09;0.37;0.32;-0.19;-0.26;-0.44;0.3
"CFdCPd";0.22;0.02;0.29;0.45;0.59;-0.37;-0.35;-0.08;0.2;-0.05
"Length";-0.11;-0.33;0.22;-0.43;0.59;0.09;0.5;-0.18;0.01;-0.05
