"basin";"Basin2stat_2";"Sub_drainage_2"
"1";"Abuna";"Abuna";"Abuna"
"2";"Amazon1";"Amazon1";"Amazon1"
"3";"Amazon2";"Amazon2";"Amazon2"
"4";"Amazon5";"Amazon5";"Amazon3"
"5";"Amazon8";"Amazon8";"Amazon4"
"6";"Amazon9";"Amazon9";"Amazon5"
"7";"Andira1";"Andira1";"Andira"
"8";"Apaporis";"Apaporis";"Apaporis"
"9";"Apurimac1";"Apurimac1";"Apurimac"
"10";"Arinos";"Arinos";"Arinos"
"11";"Aripuana";"Aripuana";"Aripuana"
"12";"Bacaja";"Bacaja";"Bacaja"
"13";"Beni";"Beni";"Beni"
"14";"Blanco_Baures";"Blanco_Baures";"Blanco_Baures"
"15";"Branco";"Branco";"Branco"
"16";"Candeias";"Candeias";"Candeias"
"17";"Canuma";"Canuma";"Canuma"
"18";"Caqueta1";"Caqueta1";"Caqueta"
"19";"Chapare";"Chapare";"Chapare"
"20";"Coari";"Coari";"Coari"
"21";"Curaray";"Curaray";"Curaray"
"22";"Curua";"Curua";"Curua"
"23";"Curua_Una";"Curua_Una";"Curua_Una"
"24";"Demini";"Demini";"Demini"
"25";"Fresco";"Fresco";"Fresco"
"26";"Grande";"Grande";"Grande"
"27";"Guapore";"Guapore";"Guapore"
"28";"Huallaga";"Huallaga";"Huallaga"
"29";"Iriri";"Iriri";"Iriri"
"30";"Isiboro";"Isiboro";"Isiboro"
"31";"Itonamas";"Itonamas";"Itonamas"
"32";"Jamanxim";"Jamanxim";"Jamanxim"
"33";"Japura1";"Japura1";"Japura"
"34";"Jari";"Jari";"Jari"
"35";"Jatapu";"Jatapu";"Jatapu"
"36";"Javary1";"Javary1";"Javary"
"37";"Jiparana";"Jiparana";"Jiparana"
"38";"Jurua1";"Jurua1";"Jurua"
"39";"Juruena1";"Juruena1";"Juruena"
"40";"Jutai";"Jutai";"Jutai"
"41";"Luna";"Luna";"Luna"
"42";"Madera1";"Madera1";"Madera1"
"43";"Madera2";"Madera2";"Madera2"
"44";"Madera3";"Madera3";"Madera3"
"45";"Madera4";"Madera4";"Madera4"
"46";"Madera6";"Madera6";"Madera5"
"47";"Madre_Dios";"Madre_Dios";"Madre_Dios"
"48";"Mamore1";"Mamore1";"Mamore1"
"49";"Mamore2";"Mamore2";"Mamore2"
"50";"Mantaro";"Mantaro";"Mantaro"
"51";"Maranon1";"Maranon1";"Maranon1"
"52";"Maranon3";"Maranon3";"Maranon2"
"53";"Maranon5";"Maranon5";"Maranon3"
"54";"Marmelos";"Marmelos";"Marmelos"
"55";"Maues";"Maues";"Maues"
"56";"Napo1";"Napo1";"Napo1"
"57";"Napo2";"Napo2";"Napo2"
"58";"Negro1";"Negro1";"Negro1"
"59";"Negro2";"Negro2";"Negro2"
"60";"Negro3";"Negro3";"Negro3"
"61";"Negro5";"Negro5";"Negro4"
"62";"Nhamunda";"Nhamunda";"Nhamunda"
"63";"Orthon";"Orthon";"Orthon"
"64";"Pachitea";"Pachitea";"Pachitea"
"65";"Paru_Este";"Paru_Este";"Paru_Este"
"66";"Pastaza";"Pastaza";"Pastaza"
"67";"Purus1";"Purus1";"Purus1"
"68";"Purus2";"Purus2";"Purus2"
"69";"Purus3";"Purus3";"Purus3"
"70";"Putumayo";"Putumayo";"Putumayo"
"71";"Roosevelt";"Roosevelt";"Roosevelt"
"72";"Santiago";"Santiago";"Santiago"
"73";"Solimoes1";"Solimoes1";"Amazon6"
"74";"Solimoes2";"Solimoes2";"Amazon7"
"75";"Solimoes3";"Solimoes3";"Amazon8"
"76";"Solimoes4";"Solimoes4";"Amazon9"
"77";"Solimoes7";"Solimoes7";"Amazon10"
"78";"Solimoes8";"Solimoes8";"Amazon11"
"79";"Solimoes9";"Solimoes9";"Amazon12"
"80";"Tapajos1";"Tapajos1";"Tapajos1"
"81";"Tapajos2";"Tapajos2";"Tapajos2"
"82";"Tapaua";"Tapaua";"Tapaua"
"83";"Tefe";"Tefe";"Tefe"
"84";"Teles_Pires";"Teles_Pires";"Teles_Pires"
"85";"Tigre";"Tigre";"Tigre"
"86";"Trombetas1";"Trombetas1";"Trombetas"
"87";"Uatuma1";"Uatuma1";"Uatuma"
"88";"Uaupes";"Uaupes";"Uaupes"
"89";"Ucayali1";"Ucayali1";"Ucayali1"
"90";"Ucayali2";"Ucayali2";"Ucayali2"
"91";"Unini";"Unini";"Unini"
"92";"Urubamba";"Urubamba";"Urubamba"
"93";"Xingu1";"Xingu1";"Xingu1"
"94";"Xingu3";"Xingu3";"Xingu2"
"95";"Xingu4";"Xingu4";"Xingu3"
"96";"Xingu6";"Xingu6";"Xingu4"
"97";"Yacuma";"Yacuma";"Yacuma"
