basin;AcidIgnRock;AcidMetRock;Andesite;Basalt;BasicMetamRock;ClasticSedimRock;Colluvial;Conglomerate;Eolean;Fluvial;GneissFerr;GneissMigm;Granite;GranoDiorite;Marl;Pyroclastic;Quartzite;Sandstone;Schist;Shale;Siltstone;Slate
Abuna;;24.00513318;;;;45.52783393;;;;1.200355658;;13.04506367;;;;;;16.22138002;;;;
Amazon1;;7.819359084;;;;24.82110525;;;;64.98978104;;;;;;;;2.370133334;;;;
Amazon2;;26.63760054;;;;32.45171547;;;;26.88858596;;;;;;;;14.02244739;;;;
Amazon5;;;;;;3.607769477;;;;65.93293734;;;;;;;;30.45955408;;;;
Amazon8;;0.219412434;;;;4.587978773;;;;23.41469482;;;;;;;;71.77806483;;;;
Amazon9;;;;;;;;;;41.94932688;;;;;;;;58.05078454;;;;
Andira1;;0.283402468;;;;2.578846688;;;;7.004794157;;;;;;;;90.13314174;;;;
Apaporis;;;;;;54.23233593;;;;5.36406419;;2.359379044;;;;;;38.04404283;;;;
Apurimac1;;;;;;;;;;;;;;0.06273584;;30.63522734;;60.93032141;;;0.348622602;8.02259714
Arinos;;3.685921109;;;0.211398405;96.10266886;;;;;;;;;;;;;;;;
Aripuana;;90.25303644;;;;3.179292508;;;;2.917648565;;;;;;;;3.650016537;;;;
Bacaja;;98.82084906;;;;1.179448223;;;;;;;;;;;;;;;;
Beni;;;;;;12.66830014;2.574500715;;;24.79936628;;;;;;;;35.45707633;;;5.279475571;19.22093062
Blanco_Baures;;0.001622366;;;;;;;;22.6694245;;65.85717891;;;;;11.47154909;;;;;
Branco;;46.65416068;9.472547137;;0.258039644;25.65357183;;1.572072248;;5.608103645;1.928336448;4.000012181;2.612988148;;;;1.084027448;;;;1.156360143;
Candeias;;71.15980572;;;;3.671652123;;;;1.357384168;;;;;;;;23.81103617;;;;
Canuma;;58.26460502;;;;0.625667526;;;;0.025588784;;;;;;;;41.08422226;;;;
Caqueta1;;;;;;23.71539317;;;;10.02238063;;;0.493663245;;;;;30.690609;3.815282853;;31.26251564;
Chapare;;;;;;;6.532956187;;;41.54225915;;;;;;;;37.80169702;;;14.12274805;
Coari;;;;;;85.13053564;;;;14.86943061;;;;;;;;;;;;
Curaray;;;;;;;;;;19.90476727;;;;;;;;7.078563707;;;73.01637252;
Curua;;86.83405201;;;;11.57339009;;;;1.070191627;;;;;;;;0.522671475;;;;
Curua_Una;;40.35278023;;;;11.68837163;;;;1.397649796;;;;;;;;46.56147201;;;;
Demini;;38.9397369;;;;40.55120429;;;;7.743971382;;1.21166322;;;;;11.55355639;;;;;
Fresco;;100.0002348;;;;;;;;;;;;;;;;;;;;
Grande;;;;;;0.215869053;;;0.387444564;34.96011481;;;;;;;;56.10833262;;1.523058047;3.277328142;3.527498606
Guapore;;19.44029829;;6.192397749;4.721571035;7.765901569;;;;21.38020019;;24.95110894;;;;;;15.34844216;;;0.199907317;
Huallaga;;;;;;6.523163449;;0.191060752;;7.108219351;;;;;;1.599452345;;;;;84.5776608;
Iriri;;98.65514424;;;0.252483493;1.092562566;;;;;;;;;;;;;;;;
Isiboro;;;;;;;22.48871564;;;30.51661549;;;;;;;;40.03884824;;;5.559604469;1.395824392
Itonamas;;;;;;3.315109385;;;29.0153558;41.09745651;;13.90457765;;;;;6.385996716;6.281214683;;;;
Jamanxim;;95.46297276;;;;4.537174834;;;;;;;;;;;;;;;;
Japura1;;;;;;67.57371663;;;;32.42621952;;;;;;;;;;;;
Jari;0.000468139;64.79307714;;;;10.33586103;;;;2.006185152;;0.208351779;;;;;22.65644777;;;;;
Jatapu;;84.01579013;;;;;;;;;;;;;;;0.084643903;15.89977979;;;;
Javary1;;;;;;82.88287314;;;;17.11469208;;;;;;;;;;;0.002172413;
Jiparana;;55.31955291;;1.676256512;;0.714276886;;;;2.037406585;;;;;;;;27.15979613;;;13.09260588;
Jurua1;;;;;;75.43816709;;;;24.04009605;;;;;;;;0.521474163;;;;
Juruena1;;21.25482835;;;;78.67397842;;;;;;;;;;;;0.071151524;;;;
Jutai;;;;;;80.3797081;;;;19.62014967;;;;;;;;;;;;
Luna;;;;;;83.29866421;;;;3.985698281;;;;;;;;12.71571409;;;;
Madera1;;;;;;;;;;50.69227163;;;;;;;;49.30784767;;;;
Madera2;;33.13727246;;;;5.364869253;;;;14.86941992;;;;;;;;46.62844866;;;;
Madera3;;;;;;72.01602855;;;;20.14633623;;;;;;;;7.837602274;;;;
Madera4;;52.24311543;;;;20.76668339;;;;4.578035935;;1.844428753;15.45964275;;;;;5.107948297;;;;
Madera6;;93.54974355;;;;;;;;;;0.613649254;4.707389318;;;;;1.129032996;;;;
Madre_Dios;;0.650915672;;;;33.77112095;;;;23.86742729;;;;;;;;4.918553416;;1.658930403;13.4633543;21.66933169
Mamore1;;39.27215513;;;;39.35388942;;;;10.6314363;;;;;;;;10.74229717;;;;
Mamore2;;;;;;5.94479089;6.292108977;;;87.09107202;;0.177734502;;;;;;0.465948248;;;0.028052575;
Mantaro;;;;;;;;16.17678951;;;;;;;;37.71697074;;36.2944174;;;8.829003325;0.982297122
Maranon1;;;;;;4.167335369;;;;94.73917974;;;;;;;;;;;1.093139675;
Maranon3;;;;;;;;;;31.02636411;;;;;;;;9.911945372;;;59.06130122;
Maranon5;;;4.83912846;;;;;21.91432104;;;;;0.375509413;3.034470466;0.538713606;1.745930883;;;15.15254111;2.672835347;49.72607527;
Marmelos;;20.31364473;;;;20.79856083;;;;1.355314468;;;;;;;;57.53244724;;;;
Maues;;40.80039203;;;;;;;;;;;;;;;;59.19976797;;;;
Napo1;;;;;;49.93465303;;;;13.99707464;;;;;;;;31.44224706;;;4.62577184;
Napo2;;;;;;0.257423411;;;;22.30801599;;;8.129290713;;;2.443575456;;27.69369758;8.042770536;;31.12493695;
Negro1;;32.62847832;;;;43.94456143;;;;8.032653894;;;;;;;;15.3944453;;;;
Negro2;;;;;;81.43849713;;;;18.56160359;;;;;;;;;;;;
Negro3;;9.093947663;;;;52.08867121;;;;6.037219542;;29.51242225;0.337719544;;;;2.930043233;;;;;
Negro5;;;;;;;;;;;;85.03881693;9.701283606;;;;4.653681876;0.606254018;;;;
Nhamunda;;34.00436307;;;;;;;;9.072117653;;;;;;;;56.92374923;;;;
Orthon;;;;;;38.85078809;;;;15.28096044;;;;;;;;0.003253494;;;45.86468431;
Pachitea;;;;;;39.2266667;;;;1.940568315;;;;;;;;0.348628835;;;58.48367499;
Paru_Este;0.022720384;85.78420349;;;;12.74911224;;;;1.403688659;;0.040617558;;;;;;;;;;
Pastaza;;;;;;;;;;12.4257386;;;2.718110248;;;18.45224652;;5.366435814;5.761504342;;55.2756052;
Purus1;;;;;;52.51056419;;;;47.48941755;;;;;;;;;;;;
Purus2;;;;;;69.32881747;;;;30.67108183;;;;;;;;;;;;
Purus3;;;;;;80.51988353;;;;14.6731795;;3.398086312;0.354661143;;;;;;;;1.05395024;
Putumayo;;;;;;43.26514155;;;;22.84167771;;;0.804980194;;;;;11.68882918;1.305765336;;20.09340112;
Roosevelt;;83.55914175;;;;5.057048691;;;;;;;;;;;;9.940587246;;;1.443161209;
Santiago;;;;;;;;10.70980543;;;;;4.451859029;;0.909343396;2.970827172;;2.735252194;22.78214205;;55.44036142;
Solimoes1;;;;;;70.09834817;;;;20.86591272;;;;;;;;9.035830951;;;;
Solimoes2;;;;;;64.86355485;;;;35.13648758;;;;;;;;;;;;
Solimoes3;;;;;;74.42729627;;;;25.57269788;;;;;;;;;;;;
Solimoes4;;;;;;58.7088282;;;;41.29112306;;;;;;;;;;;;
Solimoes7;;;;;;61.22633526;;;;38.7735194;;;;;;;;;;;;
Solimoes8;;;;;;73.94983961;;;;26.04995414;;;;;;;;;;;;
Solimoes9;;;;;;83.56735816;;;;9.549875481;;;;;;;;6.882489277;;;;
Tapajos1;;42.30401256;;;;;;;;1.861718677;;;;;;;;55.83449788;;;;
Tapajos2;;75.62882604;;;;24.05486378;;;;;;;;;;;;0.316428189;;;;
Tapaua;;;;;;81.82839998;;;;18.17147829;;;;;;;;;;;;
Tefe;;;;;;87.33713969;;;;12.662804;;;;;;;;;;;;
Teles_Pires;;42.48167347;;;1.250441648;56.26792946;;;;;;;;;;;;;;;;
Tigre;;;;;;12.55069411;;;;20.40687297;;;;;;;;8.736205051;;;58.30591982;
Trombetas1;;94.16843828;;;;1.288738153;;;;0.604468944;;0.105192566;;;;;0.022901266;3.810546869;;;;
Uatuma1;;57.6290774;;;;;;;;1.347658423;;;;;;;;41.02344718;;;;
Uaupes;;;;;;6.354723974;;;;;;52.76346304;;;;;;40.88174321;;;;
Ucayali1;;;;;;47.09907163;;;;32.72139835;;;;;;;;0.681657191;;;19.49748928;
Ucayali2;;;;;;6.213332644;;0.236618748;;18.84741024;;;;;;1.096748921;;5.714762963;;;63.29980836;4.590858676
Unini;;;;;;99.66663214;;;;0.333434963;;;;;;;;;;;;
Urubamba;;;;;;26.48714349;;;;3.642013267;;;;;;;;26.38681871;;;10.53469758;32.94888882
Xingu1;;22.63527663;;;3.061105117;45.72623012;;;;10.81670239;;;;;;;;17.76101447;;;;
Xingu3;;100.0002655;;;;;;;;;;;;;;;;;;;;
Xingu4;;67.5584301;;;;27.89416364;;;;4.547569022;;;;;;;;;;;;
Xingu6;;5.083505339;;;0.36471555;77.36455929;;;;17.18727618;;;;;;;;;;;;
Yacuma;;;;;;;10.28548659;;;75.29230451;;;;;;;;7.8478047;;;6.574078901;
