Basin;BvNiv2;codage
Jari;Jari;2
Curua;Curua;6
Paru_Este;Paru_Este;4
Curua Una;Curua_Una;5
Tefe;Tefe;17
Jutai;Jutai;19
Putumayo;Putumayo;20
Coari;Coari;15
Nhamunda;Nhamunda;9
Uatuma;Jatapu;11
Negro;Branco;13
Negro;Demini;13
Xingu;Iriri;3
Xingu;Fresco;3
Xingu;Bacaja;3
Tapajos;Jamanxim;7
Madera;Jiparana;12
Andira;Maues;10
Madera;Luna;12
Madera;Marmelos;12
Madera;Candeias;12
Madera;Abuna;12
Purus;Tapaua;14
Ucayali;Pachitea;24
Maranon;Tigre;23
Maranon;Huallaga;23
Maranon;Pastaza;23
Maranon;Santiago;23
Japura;Apaporis;16
Napo;Curaray;22
Madera;Orthon;12
Madera;Madre_Dios;12
Madera;Beni;12
Madera;Itonamas;12
Madera;Yacuma;12
Madera;Isiboro;12
Madera;Blanco_Baures;12
Madera;Guapore;12
Ucayali;Urubamba;24
Ucayali;Mantaro;24
Xingu;Xingu1;3
Xingu;Xingu3;3
Xingu;Xingu4;3
Xingu;Xingu6;3
Amazon;Amazon1;1
Amazon;Amazon2;1
Amazon;Amazon5;1
Tapajos;Tapajos1;7
Tapajos;Tapajos2;7
Tapajos;Teles_Pires;7
Andira;Andira1;10
Andira;Canuma;10
Madera;Madera1;12
Madera;Madera2;12
Madera;Madera3;12
Madera;Madera4;12
Madera;Madera6;12
Madera;Mamore1;12
Madera;Mamore2;12
Purus;Purus1;14
Purus;Purus2;14
Purus;Purus3;14
Jurua1;Jurua1;18
Javary1;Javary1;21
Ucayali;Ucayali1;24
Ucayali;Ucayali2;24
Maranon;Maranon1;23
Maranon;Maranon3;23
Maranon;Maranon5;23
Napo;Napo1;22
Napo;Napo2;22
Japura;Japura1;16
Japura;Caqueta1;16
Negro;Negro1;13
Negro;Negro2;13
Negro;Uaupes;13
Negro;Negro3;13
Negro;Negro5;13
Uatuma;Uatuma1;11
Trombetas;Trombetas1;8
Amazon;Amazon8;1
Amazon;Amazon9;1
Amaz_inter;Solimoes1;1
Amaz_inter;Solimoes2;1
Amaz_inter;Solimoes3;1
Solimoes;Solimoes4;1
Solimoes;Solimoes7;1
Solimoes;Solimoes8;1
Solimoes;Solimoes9;1
Tapajos;Juruena1;7
Tapajos;Arinos;7
Madera;Aripuana;12
Madera;Roosevelt;12
Madera;Grande;12
Madera;Chapare;12
Negro;Unini;13
Ucayali;Apurimac1;24
