basin;codage;NorthSouthMain
Abuna;12;South
Amazon1;2;Main
Amazon2;7;Main
Amazon5;11;Main
Amazon8;12;Main
Amazon9;13;Main
Solimoes1;14;Main
Solimoes2;15;Main
Solimoes3;16;Main
Solimoes4;20;Main
Solimoes7;21;Main
Solimoes8;22;Main
Solimoes9;24;Main
Andira1;10;South
Apaporis;16;North
Apurimac1;24;South
Arinos;7;South
Aripuana;12;South
Bacaja;3;South
Beni;12;South
Blanco_Baures;12;South
Branco;13;North
Candeias;12;South
Canuma;10;South
Caqueta1;16;North
Chapare;12;South
Coari;15;South
Curaray;22;North
Curua;6;North
Curua_Una;5;South
Demini;13;North
Fresco;3;South
Grande;12;South
Guapore;12;South
Huallaga;23;South
Iriri;3;South
Isiboro;12;South
Itonamas;12;South
Jamanxim;7;South
Japura1;16;North
Jari;2;North
Jatapu;11;North
Javary1;21;South
Jiparana;12;South
Jurua1;18;South
Juruena1;7;South
Jutai;19;South
Luna;12;South
Madera1;12;South
Madera2;12;South
Madera3;12;South
Madera4;12;South
Madera6;12;South
Madre_Dios;12;South
Mamore1;12;South
Mamore2;12;South
Mantaro;24;South
Maranon1;23;South
Maranon3;23;South
Maranon5;23;South
Marmelos;12;South
Maues;10;South
Napo1;22;North
Napo2;22;North
Negro1;13;North
Negro2;13;North
Negro3;13;North
Negro5;13;North
Nhamunda;9;North
Orthon;12;South
Pachitea;24;South
Paru_Este;4;North
Pastaza;23;South
Purus1;14;South
Purus2;14;South
Purus3;14;South
Putumayo;20;North
Roosevelt;12;South
Santiago;23;South
Tapajos1;7;South
Tapajos2;7;South
Tapaua;14;South
Tefe;17;South
Teles_Pires;7;South
Tigre;23;South
Trombetas1;8;North
Uatuma1;11;North
Uaupes;13;North
Ucayali1;24;South
Ucayali2;24;South
Unini;13;North
Urubamba;24;South
Xingu1;3;South
Xingu3;3;South
Xingu4;3;South
Xingu6;3;South
Yacuma;12;South
