"","basin","CSup15","CBelow15"
"Abuna","Abuna",0,99.999766451
"Amazon1","Amazon1",0.67046875,98.166109486
"Amazon2","Amazon2",20.2294396,79.770909766
"Amazon5","Amazon5",0,100.000260902
"Amazon8","Amazon8",0,100.00015086
"Amazon9","Amazon9",0,100.000111416
"Andira1","Andira1",0.082714921,99.91747013
"Apaporis","Apaporis",0.653853659,99.280971374
"Apurimac1","Apurimac1",90.262728923,8.554928647
"Arinos","Arinos",0,99.906780546
"Aripuana","Aripuana",0.795434211,99.08053464
"Bacaja","Bacaja",1.508028672,98.12256197
"Beni","Beni",58.904304608,40.710284936
"Blanco_Baures","Blanco_Baures",0.074416795,99.817505304
"Branco","Branco",21.633230211,77.919984002
"Candeias","Candeias",5.926397369,94.073480818
"Canuma","Canuma",0.146666092,99.8534175
"Caqueta1","Caqueta1",10.498371966,89.190123964
"Chapare","Chapare",32.715795113,67.283865287
"Coari","Coari",0,99.99996627
"Curaray","Curaray",6.549096018,93.450607483
"Curua","Curua",38.97679874,61.023506472
"Curua_Una","Curua_Una",13.66038054,86.339893125
"Demini","Demini",8.586514564,91.314857442
"Fresco","Fresco",17.22609614,82.353302149
"Grande","Grande",59.65547066,40.096700208
"Guapore","Guapore",1.44982375,98.468864548
"Huallaga","Huallaga",75.757871415,24.17983591
"Iriri","Iriri",3.688952917,96.311237395
"Isiboro","Isiboro",43.01670385,56.982904412
"Itonamas","Itonamas",5.824969654,93.996328636
"Jamanxim","Jamanxim",7.914657866,92.08548972
"Japura1","Japura1",0,99.999936156
"Jari","Jari",44.06794669,55.290417623
"Jatapu","Jatapu",22.77347578,77.172973536
"Javary1","Javary1",0.098794671,99.900942948
"Jiparana","Jiparana",1.100694275,98.89920064
"Jurua1","Jurua1",0.193109425,99.80662788
"Juruena1","Juruena1",0.048711615,99.866771294
"Jutai","Jutai",0,99.999857758
"Luna","Luna",0,100.00007661
"Madera1","Madera1",0,100.00011929
"Madera2","Madera2",0,100.000010284
"Madera3","Madera3",0,99.999967065
"Madera4","Madera4",0.97545343,99.02440112
"Madera6","Madera6",0,99.99981511
"Madre_Dios","Madre_Dios",29.617426285,70.302548027
"Mamore1","Mamore1",1.723652707,98.276125302
"Mamore2","Mamore2",0.540902844,99.458804378
"Mantaro","Mantaro",92.427823554,6.773441291
"Maranon1","Maranon1",0,99.999654785
"Maranon3","Maranon3",24.702917121,75.296693585
"Maranon5","Maranon5",96.01948824,2.883174325
"Marmelos","Marmelos",0,99.99996726
"Maues","Maues",2.83915798,97.161002017
"Napo1","Napo1",0,99.99974657
"Napo2","Napo2",30.177962513,69.613057728
"Negro1","Negro1",1.503976075,98.49616287
"Negro2","Negro2",0,100.000100719
"Negro3","Negro3",4.59380933,95.406214116
"Negro5","Negro5",5.302517649,94.184463563
"Nhamunda","Nhamunda",16.18467681,83.81555316
"Orthon","Orthon",0,99.99968632
"Pachitea","Pachitea",60.60601291,39.393525939
"Paru_Este","Paru_Este",39.52256662,60.287072655
"Pastaza","Pastaza",28.024329841,71.70477237
"Purus1","Purus1",0,99.99998172
"Purus2","Purus2",0,99.999899294
"Purus3","Purus3",0.050850336,99.948910374
"Putumayo","Putumayo",4.043202347,95.80433514
"Roosevelt","Roosevelt",3.198482158,96.739451084
"Santiago","Santiago",87.6459512,11.8140402
"Solimoes1","Solimoes1",0,100.000091835
"Solimoes2","Solimoes2",0,100.000042413
"Solimoes3","Solimoes3",0,99.99999414
"Solimoes4","Solimoes4",0,99.99995126
"Solimoes7","Solimoes7",0,99.999854662
"Solimoes8","Solimoes8",0,99.99979376
"Solimoes9","Solimoes9",0,99.9997229
"Tapajos1","Tapajos1",11.45387798,88.546351142
"Tapajos2","Tapajos2",15.79338967,84.206728346
"Tapaua","Tapaua",0,99.999878272
"Tefe","Tefe",0,99.99994369
"Teles_Pires","Teles_Pires",0.388059533,99.521599348
"Tigre","Tigre",0.978936106,99.02075586
"Trombetas1","Trombetas1",24.34454427,75.301032017
"Uatuma1","Uatuma1",16.08030841,83.9198746
"Uaupes","Uaupes",0.090515162,99.620010002
"Ucayali1","Ucayali1",10.432405921,89.567210543
"Ucayali2","Ucayali2",64.49932,35.345751474
"Unini","Unini",0,100.000067088
"Urubamba","Urubamba",62.880525095,36.937115961
"Xingu1","Xingu1",1.278867546,98.645841321
"Xingu3","Xingu3",8.385352996,91.579850244
"Xingu4","Xingu4",8.261147867,91.574538823
"Xingu6","Xingu6",0,99.813785813
"Yacuma","Yacuma",10.507258014,89.492416716
