%;Length_km;A1;A2;B1;B2;B3;B4;C1;C2;C3
Abuna;247;0;0;60.3;21.8;0;17.8;0;0;0
Amazon1;215;74.6;15.1;10.3;0;0;0;0;0;0
Amazon10;360;100;0;0;0;0;0;0;0;0
Amazon11;433;100;0;0;0;0;0;0;0;0
Amazon12;193;100;0;0;0;0;0;0;0;0
Amazon2;566;79.6;20.4;0;0;0;0;0;0;0
Amazon3;374;93.3;6.7;0;0;0;0;0;0;0
Amazon4;202;100;0;0;0;0;0;0;0;0
Amazon5;142;100;0;0;0;0;0;0;0;0
Amazon6;407;52.5;40.7;5.6;1.2;0;0;0;0;0
Amazon7;352;70.3;0;27.9;0;0;0;1.8;0;0
Amazon8;166;100;0;0;0;0;0;0;0;0
Amazon9;591;94.9;5.1;0;0;0;0;0;0;0
Andira;394;0;67.4;32.6;0;0;0;0;0;0
Apaporis;1007;0;0;0;78.8;0;10.9;0;1.5;8.8
Apurimac;227;0;0;0;0;0;87.1;0;0;12.9
Arinos;506;0;0;50.7;0;0;0.9;48.5;0;0
Aripuana;760;45.4;3.6;14.3;0;0;1.1;35.6;0;0
Bacaja;271;0;0;33.6;0;0;4.7;61.7;0;0
Beni;1625;0;0;1.7;10.3;36.2;26.7;7.9;8.7;8.6
Blanco_Baures;210;0;0;0;0;94.6;5.4;0;0;0
Branco;1759;31.5;4;42.5;0.6;0;2;19.5;0;0
Candeias;72;0;0;58.8;0;0;24.9;16.2;0;0
Canuma;688;0;45.8;46.4;0;0;0;7.8;0;0
Caqueta;2282;0;0;0;33.2;0;18.3;0;32;16.5
Chapare;29;0;0;0;45.2;0;54.8;0;0;0
Coari;195;0;53.9;0;29.7;0;16.5;0;0;0
Curaray;512;0;0;0;75.7;0;19.7;0;3.5;1
Curua;147;0;11.4;86.4;0;0;0;2.1;0;0
Curua_Una;125;0;31.6;53.2;0;0;0;15.1;0;0
Demini;657;0;5.5;78.2;0;0;0;16.3;0;0
Fresco;325;0;0;43.7;0;0;0;56.3;0;0
Grande;287;0;0;1.8;0;77.2;21;0;0;0
Guapore;972;5.8;0;0;0.4;81.6;11.8;0.4;0;0
Huallaga;963;0;0;0;1.6;0;12.9;0;28.9;56.5
Iriri;1406;4.7;0;15.4;0.8;0;0.4;78.4;0;0.2
Isiboro;244;0;0;0;55.4;3.4;39.8;1.3;0;0
Itonamas;27;0;0;0;0;100;0;0;0;0
Jamanxim;636;3.4;3.2;31.6;0;0;1.7;60;0;0
Japura;791;0;0;0;0;0;0;0;100;0
Jari;190;0;73.1;10.9;0;0;0;16;0;0
Jatapu;411;0;8.6;63.6;0;0;0;27.8;0;0
Javary;1804;0;0;0;69.2;3.6;23;0;4.2;0
Jiparana;753;0.4;2.6;59.3;0;0;0.8;36.8;0;0
Jurua;3348;0;0;0;15.4;50.9;27.3;0;6.4;0
Juruena;987;11.9;0;25.3;0;0;0.6;62.2;0;0
Jutai;1164;0;0;0;52.8;0;15.5;0;31.7;0
Luna;857;0;43.5;5.7;44.9;0.6;1.5;0;3.8;0
Madera1;327;100;0;0;0;0;0;0;0;0
Madera2;401;59.5;0;40.5;0;0;0;0;0;0
Madera3;344;100;0;0;0;0;0;0;0;0
Madera4;478;92.6;3.8;1.2;2.4;0;0;0;0;0
Madera5;115;100;0;0;0;0;0;0;0;0
Madre_Dios;1574;1.3;0;1.1;17.2;7.5;7;20.9;21.3;23.7
Mamore1;536;29.2;0;12.1;22.7;18.9;13.3;3.8;0;0
Mamore2;744;0;0;0;0;90;8.7;1.3;0;0
Mantaro;22;0;0;0;0;0;100;0;0;0
Maranon1;619;0;0;0;25.8;0;11.8;0;58.6;3.9
Maranon2;778;0;0;0;14.2;0;45;0;38.1;2.7
Maranon3;382;0;0;0;1.1;0;52;0;0;46.9
Marmelos;142;0;15.6;77.7;0;0;0;6.7;0;0
Maues;149;0;94.9;5.1;0;0;0;0;0;0
Napo1;351;0;0;0;0;0;0;0;73.9;26.1
Napo2;824;0;0;0;2.6;0;4.7;0;0;92.7
Negro1;611;41.8;25.6;28.8;0;0;0;3.8;0;0
Negro2;627;36.1;14.8;46.8;1.3;0;0;1;0;0
Negro3;1694;0;4.2;0;54.3;0;3.5;0;35.5;2.3
Negro4;1139;0;0;0;50.9;0;4.7;0;17.5;26.9
Nhamunda;365;0;58.7;41.3;0;0;0;0;0;0
Orthon;405;0;0;0;2.1;50.7;43;0;4.2;0
Pachitea;494;0;0;0;27.2;0;35.5;0;0;37.3
Paru_Este;279;0;20.2;35.3;0;0;0;44.5;0;0
Pastaza;614;0;0;0;36.5;0;8.2;0;1.9;53.4
Purus1;941;0;0.9;0;0.9;98.1;0;0;0;0
Purus2;397;0;0;0;0;100;0;0;0;0
Purus3;3136;0;0;0;46.7;25.3;28.1;0;0;0
Putumayo;1799;0;0;0;3.7;0;0.8;0;62.7;32.8
Roosevelt;478;0;0;70.2;0;0;0;29.8;0;0
Santiago;393;0;0;0;2.4;0;44.4;0;0;53.2
Tapajos1;519;73.6;24.4;1.9;0;0;0;0;0;0
Tapajos2;472;100;0;0;0;0;0;0;0;0
Tapaua;985;0;0;0;86.5;3.4;10.2;0;0;0
Tefe;40;0;100;0;0;0;0;0;0;0
Teles_Pires;1045;14.8;0;17.8;0.5;0;2.1;63.6;0;1.3
Tigre;720;0;0;0;49;0;43.1;0;7.9;0
Trombetas;1482;6.7;13.3;29.3;0;0;0;50.8;0;0
Uatuma;339;0;66.2;30.2;0;0;0;3.6;0;0
Uaupes;397;0;0;0;18.1;0;8.1;0;36.4;37.5
Ucayali1;1823;0;0;0;12.2;0;18.6;0;63.5;5.6
Ucayali2;790;0;0;0;0;0;35.7;0;43.9;20.4
Unini;494;0;18.5;0;70.6;0;3.9;0;7;0
Urubamba;373;0;0;0;0;0;63.5;0;0;36.5
Xingu1;644;47.8;5.1;9.7;0;0;0;37.4;0;0
Xingu2;437;5.2;0;0;0;0;0;94.8;0;0
Xingu3;850;0;0;11.3;2.1;0;0;86.6;0;0
Xingu4;846;0;0;36.7;29.6;0;9.1;24.6;0;0
Yacuma;14;0;0;100;0;0;0;0;0;0
